"Order ID","Order Date & Time","Customer Name","Phone Number","Delivery Address","Pincode","Products Ordered","Total Qty","Total Amount","Payment ID","Payment Status","Order Status","Notes"
"WS-101722","15/9/2026, 9:03:14 pm","Pooja Hegde, +91 91234 56789","test-workflow-999","Villa 9, Ocean Palms, Candolim Beach Road, Goa - 403515,  - 403515","403515","Capiz & Mother-of-Pearl Glow Lamp (WS-LP-04) x2","2","₹6598","PAY-SAZ2B56","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-673050","15/9/2026, 10:33:57 pm","Naveen","919384828771","Flat 402, Ocean Breeze Apts, Beach Road, Chennai 600004,  - 600004","600004","Artisanal Seashell Vanity Mirror (WS-MR-01) x2","2","₹4998","PAY-CATO67B","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-651484","15/9/2026, 10:47:07 pm","Naveen","919384828771","25/1 apartment, pollachi, 642001,  - 642001","642001","Gilded Pearl Oyster Trinket Dish (WS-TD-03) x2","2","₹1298","PAY-XA8DX6H","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-948311","15/9/2026, 10:51:17 pm","Kavya Iyer","919384828771","Villa 18, Coral Reef Enclave, ECR Road, Chennai 600041,  - 600041","600041","Artisanal Seashell Vanity Mirror (WS-MR-01) x1","1","₹2499","PAY-2NWLWJN","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-659821","15/9/2026, 11:03:04 pm","Naveen","919384828771","Slv bhavish terrain kr puram bangalore 560016,  - 560016","560016","Scallop Shell Trinket Duo (Pastel Pink & Sand) (WS-SC-06) x2","2","₹1998","PAY-SI7AFD2","PAID","CONFIRMED","2 gift wrap with quotes of lovely gift from lala"
"WS-974398","15/9/2026, 11:18:28 pm","sara","7604906945","35, Kottampatti_Kerla Samajam to Chinnampalayam Road, Mullai Nagar, Pollachi, Tamil Nadu 642002,  - 642002","642002","Capiz & Mother-of-Pearl Glow Lamp (WS-LP-04) x2","2","₹6598","PAY-WFKGYY7","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-420691","15/9/2026, 11:32:55 pm","Naveen ki","9876543210","iit housing colony kr puram banglore 642991,  - 642991","642991","Spiral Conch Sea Salt & Sage Candle (WS-CD-02) x1","1","₹899","PAY-SIDNDPA","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-983248","15/9/2026, 11:36:54 pm","Naveen Kumar","9876543210","12 Lotus Street, Adyar, Chennai 600020,  - 600020","600020","Capiz & Mother-of-Pearl Glow Lamp (WS-LP-04) x1","1","₹3299","PAY-G9NMVR0","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-323691","15/9/2026, 11:47:44 pm","Narmadha","9876544321","madurai medical college, 655567,  - 655567","655567","Gilded Pearl Oyster Trinket Dish (WS-TD-03) x3","3","₹1947","PAY-ELHIJWE","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-316680","16/9/2026, 12:17:54 am","Divya Nair","9876543210","Villa 4, Coastal Green, ECR Road, Chennai 600041,  - 600041","600041","Artisanal Seashell Vanity Mirror (WS-MR-01) x1, Spiral Conch Sea Salt & Sage Candle (WS-CD-02) x2, Gilded Pearl Oyster Trinket Dish (WS-TD-03) x1","4","₹4946","PAY-PRLG00U","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-577254","16/9/2026, 12:24:22 am","Rohan Varma","sim-171543","12/A Ocean Breeze Villa, Miramar, Goa - 403001,  - 403001","403001","Spiral Conch Sea Salt & Sage Candle (WS-CD-02) x1","1","₹899","PAY-1HNGO47","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-454538","16/9/2026, 6:20:53 pm","Naveen","9080224672","sri ganesh apartment pollachi 642001,  - 642001","642001","Scallop Shell Trinket Duo (Pastel Pink & Sand) (WS-SC-06) x1, Gilded Pearl Oyster Trinket Dish (WS-TD-03) x1","2","₹1648","PAY-2DBT5XD","PAID","CONFIRMED","Ordered via WhatsApp automation"
"WS-020086","16/9/2026, 7:27:00 pm","Navaneetha Krishnan","9384828771","Flat 3B Pearl Bay Apts, ECR Road, Chennai 600041,  - 600041","600041","Artisanal Seashell Vanity Mirror (WS-MR-01) x1","1","₹2499","pay_1789567020087","PAID","CONFIRMED","Ordered via WhatsApp automation"
